feature,coef,std_err,z,p-value,CI[0.025,0.975]
year,-0.0878,0.024,-3.613,0,-0.135,-0.04
preop_cath_other,1.5452,0.352,4.386,0,0.855,2.236
s1_postop_cath,0.649,0.157,4.132,0,0.341,0.957
s1sreoptyp_arch,1.4656,0.407,3.597,0,0.667,2.264
digoxin_at_dc,-0.6962,0.157,-4.426,0,-1.004,-0.388
avvr_at_discharge,0.4536,0.122,3.732,0,0.215,0.692
gestational_age,-0.1906,0.039,-4.87,0,-0.267,-0.114
Norwood_Hybrid,1.1724,0.192,6.111,0,0.796,1.548
Norwood_Sano_DKS_Conduit,-0.7998,0.146,-5.476,0,-1.086,-0.514
birthweight,-0.4194,0.124,-3.388,0.001,-0.662,-0.177
ecmo_postop,0.7765,0.235,3.303,0.001,0.316,1.237
s1_postop_cath_pulmveindil,3.1076,0.916,3.394,0.001,1.313,4.902
s1_postop_cath_pulmveinstent,3.8011,1.157,3.285,0.001,1.534,6.069
antibiotics_at_dc,0.7572,0.219,3.46,0.001,0.328,1.186
benzodiazepines_at_dc,1.1337,0.339,3.346,0.001,0.47,1.798
s1_postop_cath_bas,0.9353,0.309,3.031,0.002,0.33,1.54
s1postop_arrest,0.7154,0.241,2.974,0.003,0.244,1.187
s1comp_other,0.4408,0.15,2.946,0.003,0.147,0.734
chlorothiazide_at_dc,0.7908,0.263,3.009,0.003,0.276,1.306
sex,0.4271,0.144,2.965,0.003,0.145,0.71
phase,-0.4688,0.16,-2.932,0.003,-0.782,-0.155
postop_arr_jet,0.8038,0.278,2.894,0.004,0.259,1.348
age_at_stage1_discharge,0.0052,0.002,2.901,0.004,0.002,0.009
s1d_redflagplan,-1.135,0.395,-2.873,0.004,-1.909,-0.361
s1comp_arr,0.5668,0.204,2.776,0.005,0.167,0.967
s1dfeedeval_clinical,-0.4024,0.145,-2.776,0.005,-0.686,-0.118
syndrome_any,0.5252,0.202,2.605,0.009,0.13,0.92
Race_W,-0.388,0.151,-2.571,0.01,-0.684,-0.092
s1comp_reint,0.4658,0.186,2.507,0.012,0.102,0.83
s1comp_renal,0.8287,0.347,2.387,0.017,0.148,1.509
s1sreoptyp_pm,1.2552,0.56,2.24,0.025,0.157,2.354
Norwood_BT_DKS_Shunt,0.329,0.148,2.226,0.026,0.039,0.619
riskfactor_any,0.3055,0.143,2.129,0.033,0.024,0.587
riskfactor_other,0.4042,0.191,2.112,0.035,0.029,0.779
s1comp_neuro,0.8698,0.413,2.104,0.035,0.06,1.68
s1dfeedeval_scope,-0.8778,0.421,-2.087,0.037,-1.702,-0.054
preop_cath_diag,0.3074,0.153,2.012,0.044,0.008,0.607
s1d_spo2,-0.0279,0.014,-1.986,0.047,-0.055,0
anomalies_pulm,1.0917,0.552,1.976,0.048,0.009,2.175
oxygen_at_dc,0.4494,0.227,1.976,0.048,0.004,0.895
preop_cath_pulmvein,2.6928,1.416,1.902,0.057,-0.083,5.468
preop_cath_pulmvein_stent,2.6928,1.416,1.902,0.057,-0.083,5.468
preop_cath_bas,0.5523,0.292,1.893,0.058,-0.02,1.124
s1_cereb_perf,-0.2756,0.148,-1.858,0.063,-0.566,0.015
s1comp_woundinfx,0.4417,0.241,1.831,0.067,-0.031,0.914
s1_otherproc_other,0.3569,0.196,1.825,0.068,-0.026,0.74
syndrome_heterotaxy,0.6189,0.343,1.804,0.071,-0.054,1.291
s1comp_chylo,0.4262,0.241,1.768,0.077,-0.046,0.899
hlhs_type_MS_AS,-0.454,0.259,-1.753,0.08,-0.962,0.054
s1_postop_cath_bts_dil,0.8458,0.486,1.739,0.082,-0.107,1.799
s1_postop_cath_bts_stent,0.7578,0.442,1.713,0.087,-0.109,1.625
function_at_discharge,0.2996,0.175,1.712,0.087,-0.043,0.643
zantac_at_dc,-0.3053,0.181,-1.688,0.091,-0.66,0.049
ethnicity,0.3001,0.178,1.69,0.091,-0.048,0.648
opiates_at_dc,0.5078,0.301,1.684,0.092,-0.083,1.099
s1sreoptyp_other,0.361,0.219,1.649,0.099,-0.068,0.79
s1d_followup_other,1.0236,0.633,1.616,0.106,-0.218,2.265
hlhs_type_MA_AS,0.6111,0.382,1.601,0.109,-0.137,1.359
s1_postop_cath_coarc,0.643,0.408,1.576,0.115,-0.156,1.442
aldactone_at_dc,0.3609,0.236,1.532,0.125,-0.101,0.823
syndrome_turner,0.8274,0.542,1.527,0.127,-0.235,1.89
s1_otherproc_trach,0.9627,0.63,1.527,0.127,-0.273,2.198
postop_arr_vfib,1.1909,0.785,1.517,0.129,-0.348,2.73
Race_B,0.2771,0.189,1.469,0.142,-0.093,0.647
s1comp_pna,0.7893,0.541,1.46,0.144,-0.27,1.849
s1_otherproc_nissen,0.4103,0.281,1.461,0.144,-0.14,0.961
age_postop_feeds_start,0.0034,0.002,1.448,0.148,-0.001,0.008
s1comp_vocalcord,-0.3295,0.231,-1.424,0.154,-0.783,0.124
riskfactor_acidosis,0.2678,0.193,1.389,0.165,-0.11,0.646
anomalies_any,0.3325,0.24,1.384,0.166,-0.138,0.803
syndrome_vacterl,1.5935,1.157,1.377,0.168,-0.674,3.861
Race_Others,0.2953,0.218,1.352,0.176,-0.133,0.723
add_dx_other,0.2475,0.185,1.341,0.18,-0.114,0.609
plavix_at_dc,0.5808,0.438,1.326,0.185,-0.278,1.44
age_at_extubation,0.0029,0.002,1.299,0.194,-0.001,0.007
s1comp_seizure,0.3623,0.28,1.292,0.196,-0.187,0.912
s1sreoptyp_explor,0.3169,0.245,1.291,0.197,-0.164,0.798
home_surveillance,-0.4854,0.379,-1.28,0.201,-1.229,0.258
hlhs_type_MA_AA,0.1961,0.155,1.265,0.206,-0.108,0.5
hlhs_type_missing_indicator,-0.184,0.147,-1.247,0.212,-0.473,0.105
riskfactor_aki,0.4226,0.34,1.243,0.214,-0.244,1.089
preop_cath_asd_stent,0.5409,0.437,1.237,0.216,-0.316,1.398
postop_arr_eat,0.2706,0.23,1.175,0.24,-0.181,0.722
s1_otherproc_tdl,0.9023,0.767,1.176,0.24,-0.601,2.406
s1d_followup_comb,0.215,0.184,1.166,0.244,-0.147,0.577
s1d_roomin,-0.3332,0.287,-1.161,0.246,-0.896,0.229
s1d_asd_rest,0.5517,0.48,1.15,0.25,-0.388,1.492
anomalies_cns,0.5467,0.478,1.144,0.253,-0.39,1.484
aspirin_at_dc,0.2962,0.26,1.14,0.254,-0.213,0.805
nutrition_route,0.093,0.083,1.119,0.263,-0.07,0.256
anomalies_renal_gu,0.4416,0.404,1.094,0.274,-0.35,1.233
riskfactor_vent,0.1817,0.167,1.087,0.277,-0.146,0.509
antiepileptic_at_dc,0.3218,0.299,1.076,0.282,-0.264,0.908
